,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
37,-117.31,33.17,7.0,2349.0,312.0,809.0,282.0,5.5520000000000005,NEAR OCEAN,283900.0
38,-121.47,38.53,43.0,3215.0,725.0,2400.0,625.0,1.4625,INLAND,54400.0
39,-118.33,33.87,36.0,2219.0,406.0,1219.0,403.0,4.2614,<1H OCEAN,267100.0
40,-118.27,34.17,52.0,2287.0,295.0,829.0,296.0,7.8383,<1H OCEAN,500001.0
41,-116.91,34.0,18.0,553.0,100.0,215.0,82.0,5.5,INLAND,193800.0
42,-122.27,38.31,44.0,3030.0,589.0,1373.0,582.0,2.9054,NEAR BAY,155200.0
43,-116.89,33.92,10.0,2653.0,621.0,1967.0,598.0,2.6643,INLAND,81000.0
44,-118.02,33.71,23.0,5554.0,995.0,2408.0,936.0,5.3886,<1H OCEAN,331900.0
45,-117.93,33.73,27.0,3662.0,834.0,3009.0,743.0,3.9816,<1H OCEAN,179500.0
46,-121.82,38.01,50.0,1120.0,281.0,625.0,239.0,1.5988,INLAND,96400.0
47,-121.49,38.54,37.0,1655.0,393.0,841.0,355.0,1.6932,INLAND,78400.0
48,-117.99,34.18,38.0,2981.0,432.0,1063.0,437.0,6.5254,INLAND,365000.0
49,-118.2,33.92,36.0,414.0,104.0,477.0,130.0,3.6719,<1H OCEAN,130400.0
50,-118.85,34.17,42.0,564.0,96.0,220.0,81.0,4.5625,<1H OCEAN,318800.0
51,-121.77,36.87,37.0,424.0,65.0,266.0,64.0,3.3472,NEAR OCEAN,293800.0
52,-117.28,33.28,13.0,6131.0,1040.0,4049.0,940.0,3.8156,<1H OCEAN,150700.0
53,-118.47,33.99,41.0,1146.0,310.0,833.0,270.0,2.5938,<1H OCEAN,285000.0
54,-122.21,37.76,52.0,1420.0,314.0,1085.0,300.0,1.7546,NEAR BAY,80600.0
55,-117.12,32.71,33.0,1256.0,331.0,1315.0,321.0,1.9286,NEAR OCEAN,78500.0
56,-119.16,34.12,17.0,224.0,70.0,147.0,71.0,3.6167,NEAR OCEAN,280000.0
57,-122.01,37.39,36.0,1976.0,361.0,1348.0,371.0,5.6447,<1H OCEAN,252600.0
58,-120.99,39.04,17.0,2289.0,450.0,1182.0,397.0,2.3696,INLAND,166800.0
59,-120.0,38.87,12.0,1437.0,268.0,395.0,144.0,4.225,INLAND,127600.0
60,-118.46,34.18,33.0,1791.0,386.0,844.0,397.0,4.5081,<1H OCEAN,251400.0
61,-122.27,37.97,10.0,15259.0,2275.0,7266.0,2338.0,6.0666,NEAR BAY,272400.0
62,-122.41,37.8,52.0,1288.0,309.0,437.0,272.0,6.3245,NEAR BAY,500001.0
63,-123.1,39.15,32.0,1143.0,208.0,454.0,188.0,3.8333,<1H OCEAN,116100.0
64,-117.78,33.97,2.0,556.0,63.0,179.0,54.0,8.4411,<1H OCEAN,500001.0
65,-121.98,37.36,34.0,1735.0,318.0,1019.0,301.0,4.5625,<1H OCEAN,242700.0
66,-121.98,37.53,28.0,2829.0,566.0,1610.0,540.0,4.6,<1H OCEAN,223200.0
67,-120.57,34.96,38.0,1145.0,297.0,1107.0,296.0,2.1776,NEAR OCEAN,89100.0
68,-120.02,38.76,15.0,3142.0,618.0,725.0,285.0,4.3333,INLAND,121400.0
69,-117.02,32.81,27.0,1950.0,317.0,950.0,320.0,4.0656,<1H OCEAN,164000.0
70,-121.48,37.77,19.0,2364.0,373.0,1264.0,390.0,5.0176,INLAND,274200.0
71,-120.44,34.93,15.0,868.0,244.0,1133.0,253.0,2.0995,<1H OCEAN,87500.0
72,-118.19,33.84,24.0,1228.0,320.0,537.0,273.0,2.25,NEAR OCEAN,192000.0
73,-121.21,37.5,34.0,294.0,49.0,147.0,47.0,3.0,INLAND,162500.0
74,-123.17,39.15,30.0,1904.0,331.0,816.0,325.0,4.425,<1H OCEAN,161900.0
75,-121.89,36.6,19.0,656.0,200.0,248.0,173.0,1.2656,<1H OCEAN,500000.0
76,-122.16,37.74,46.0,1029.0,181.0,567.0,211.0,3.4844,NEAR BAY,129500.0
77,-118.35,33.84,22.0,13133.0,3680.0,7180.0,3522.0,3.5414,<1H OCEAN,354700.0
78,-118.2,33.95,41.0,679.0,184.0,788.0,185.0,2.1406,<1H OCEAN,165300.0
79,-118.27,33.8,28.0,4698.0,902.0,3287.0,881.0,4.8508,<1H OCEAN,215900.0
80,-118.48,34.0,52.0,1359.0,395.0,521.0,368.0,2.6736,<1H OCEAN,500001.0
81,-118.41,34.01,43.0,2000.0,529.0,1290.0,514.0,4.7031,<1H OCEAN,302500.0
82,-118.39,34.06,52.0,1213.0,194.0,503.0,194.0,8.0095,<1H OCEAN,500001.0
83,-117.88,34.14,23.0,2308.0,322.0,1001.0,317.0,7.5112,INLAND,355500.0
84,-120.41,34.96,21.0,1774.0,263.0,724.0,237.0,4.65,<1H OCEAN,152500.0
85,-120.87,41.54,21.0,1091.0,208.0,660.0,188.0,2.2321,INLAND,34600.0
86,-122.65,38.46,14.0,2096.0,420.0,926.0,397.0,4.0647,<1H OCEAN,187800.0
87,-119.53,37.34,26.0,4047.0,702.0,571.0,199.0,2.3482,INLAND,179500.0
88,-117.96,33.82,19.0,1199.0,251.0,730.0,276.0,3.6422,<1H OCEAN,209400.0
89,-119.83,34.44,35.0,796.0,281.0,567.0,257.0,2.1389,NEAR OCEAN,260000.0
90,-118.35,33.91,26.0,2159.0,523.0,1331.0,520.0,3.87,<1H OCEAN,264500.0
91,-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,NEAR BAY,142500.0
92,-118.27,34.07,27.0,1190.0,,1795.0,422.0,1.7016,<1H OCEAN,160000.0
93,-118.94,35.39,27.0,3074.0,452.0,1223.0,452.0,5.4592,INLAND,139100.0
94,-124.13,40.78,34.0,2142.0,420.0,1056.0,382.0,2.1101,NEAR OCEAN,86900.0
95,-118.98,35.37,36.0,1562.0,398.0,1223.0,329.0,0.9675,INLAND,47100.0
96,-118.69,34.18,11.0,1177.0,138.0,415.0,119.0,10.0472,<1H OCEAN,500001.0
97,-118.36,34.08,45.0,2195.0,483.0,1265.0,455.0,3.3864,<1H OCEAN,397900.0
98,-118.41,33.88,40.0,925.0,254.0,371.0,227.0,5.2533,<1H OCEAN,500001.0
99,-118.02,34.15,44.0,2267.0,426.0,980.0,372.0,3.6,INLAND,307400.0
100,-117.87,33.78,30.0,2022.0,522.0,1196.0,463.0,3.7454,<1H OCEAN,186000.0
101,-118.09,33.91,34.0,1582.0,343.0,1356.0,324.0,3.4211,<1H OCEAN,141100.0
102,-117.12,34.06,38.0,281.0,55.0,151.0,52.0,1.3906,INLAND,120800.0
103,-121.47,38.95,34.0,2129.0,350.0,969.0,314.0,2.7039,INLAND,106300.0
104,-118.19,34.14,38.0,1826.0,300.0,793.0,297.0,5.2962,<1H OCEAN,291500.0
105,-118.2,33.92,39.0,1050.0,217.0,895.0,207.0,3.1538,<1H OCEAN,155600.0
106,-117.98,33.87,29.0,1310.0,332.0,937.0,294.0,3.8068,<1H OCEAN,158700.0
107,-122.44,37.72,52.0,1507.0,282.0,929.0,281.0,3.8958,NEAR BAY,247700.0
108,-121.02,39.01,17.0,4786.0,799.0,2066.0,770.0,3.9734,INLAND,185400.0
109,-117.68,33.65,6.0,10395.0,1915.0,4783.0,1811.0,5.928,<1H OCEAN,239900.0
110,-121.52,38.53,30.0,3377.0,623.0,1289.0,594.0,3.5737,INLAND,171200.0
111,-120.86,37.69,5.0,6660.0,1217.0,3012.0,1087.0,3.0809,INLAND,143600.0
112,-121.13,36.21,30.0,1484.0,414.0,1200.0,351.0,1.7548,<1H OCEAN,95800.0
113,-118.32,33.86,32.0,3485.0,678.0,1715.0,649.0,4.6563,<1H OCEAN,291700.0
114,-121.74,36.47,28.0,1973.0,343.0,970.0,349.0,4.25,<1H OCEAN,279100.0
115,-117.66,34.13,19.0,3995.0,554.0,1523.0,509.0,6.075,INLAND,254100.0
116,-121.48,38.56,46.0,1476.0,344.0,688.0,353.0,2.7316,INLAND,134700.0
117,-118.02,33.92,34.0,2169.0,418.0,1169.0,406.0,3.2222,<1H OCEAN,218700.0
118,-122.31,37.56,45.0,1792.0,301.0,829.0,318.0,4.9013,NEAR OCEAN,330100.0
119,-121.44,38.65,28.0,1219.0,240.0,559.0,212.0,3.8295,INLAND,122200.0
120,-117.64,34.09,34.0,2839.0,659.0,1822.0,631.0,3.05,INLAND,121300.0
121,-122.05,37.11,39.0,1065.0,248.0,497.0,208.0,4.5972,NEAR OCEAN,146300.0
122,-117.29,34.11,35.0,2014.0,677.0,1714.0,612.0,0.7075,INLAND,78800.0
123,-117.51,33.89,16.0,5418.0,1005.0,2690.0,1088.0,4.0556,INLAND,158000.0
124,-122.21,37.48,37.0,1326.0,335.0,1771.0,335.0,3.0147,NEAR BAY,218100.0
125,-118.32,33.83,51.0,2399.0,516.0,1160.0,514.0,3.8456,<1H OCEAN,318900.0
126,-118.27,34.04,13.0,1784.0,,2158.0,682.0,1.7038,<1H OCEAN,118100.0
127,-118.05,33.71,25.0,4150.0,570.0,1424.0,547.0,8.8281,NEAR OCEAN,461600.0
128,-122.59,38.04,25.0,3412.0,455.0,1238.0,406.0,8.3646,NEAR BAY,397300.0
129,-118.18,33.82,43.0,284.0,65.0,167.0,68.0,4.25,NEAR OCEAN,207500.0
130,-118.76,34.13,10.0,4355.0,716.0,2030.0,674.0,6.5571,NEAR OCEAN,500001.0
131,-119.21,34.26,10.0,3150.0,781.0,1582.0,653.0,4.2448,NEAR OCEAN,157300.0
132,-117.08,32.73,36.0,1158.0,218.0,619.0,233.0,3.6125,NEAR OCEAN,122500.0
133,-118.4,33.87,34.0,3145.0,786.0,1352.0,727.0,5.0976,<1H OCEAN,469800.0
134,-117.07,33.12,21.0,4578.0,927.0,2818.0,900.0,3.1458,<1H OCEAN,187700.0
135,-122.47,37.69,30.0,837.0,213.0,606.0,199.0,4.875,NEAR OCEAN,258800.0
136,-121.92,36.61,29.0,3735.0,808.0,1873.0,757.0,3.1543,NEAR OCEAN,253800.0
137,-117.88,33.65,24.0,4879.0,756.0,1777.0,754.0,5.9055,<1H OCEAN,477300.0
138,-117.61,34.08,12.0,4427.0,,2400.0,843.0,4.7147,INLAND,158700.0
139,-117.99,33.98,18.0,8399.0,1144.0,3727.0,1107.0,6.9695,<1H OCEAN,360400.0
140,-118.38,33.83,35.0,2152.0,454.0,902.0,414.0,4.5179,<1H OCEAN,427200.0
141,-118.4,34.04,42.0,1298.0,174.0,420.0,190.0,12.8483,<1H OCEAN,500001.0
142,-121.33,38.02,37.0,1964.0,315.0,915.0,335.0,4.3008,INLAND,119800.0
143,-121.77,37.74,25.0,494.0,81.0,254.0,85.0,9.1531,INLAND,418800.0
144,-118.17,33.87,45.0,2110.0,494.0,1404.0,454.0,2.9803,<1H OCEAN,165900.0
145,-119.74,34.45,29.0,2526.0,388.0,1092.0,409.0,6.0597,<1H OCEAN,383100.0
146,-120.1,36.66,19.0,2020.0,416.0,1341.0,360.0,1.7,INLAND,69000.0
147,-120.46,34.64,11.0,562.0,164.0,504.0,147.0,2.0161,NEAR OCEAN,118800.0
148,-122.04,36.97,52.0,1901.0,335.0,955.0,301.0,3.8259,NEAR OCEAN,253100.0
149,-122.27,37.54,16.0,3913.0,565.0,1752.0,557.0,7.3644,NEAR BAY,419700.0
150,-122.95,39.13,17.0,380.0,69.0,225.0,72.0,3.25,INLAND,137500.0
151,-118.35,34.06,52.0,1368.0,322.0,617.0,303.0,5.3819,<1H OCEAN,440900.0
152,-123.82,40.16,19.0,2283.0,634.0,1184.0,453.0,1.2227,<1H OCEAN,76800.0
153,-119.19,36.34,33.0,2199.0,403.0,1245.0,394.0,2.73,INLAND,96900.0
154,-120.99,37.64,50.0,683.0,189.0,459.0,195.0,1.8162,INLAND,70000.0
155,-121.55,39.09,31.0,1728.0,365.0,1167.0,384.0,1.4958,INLAND,53400.0
156,-117.93,33.95,31.0,3600.0,468.0,1382.0,435.0,7.4597,<1H OCEAN,500001.0
157,-117.71,34.07,31.0,1840.0,380.0,1187.0,357.0,3.8875,INLAND,129200.0
158,-118.34,34.17,49.0,3033.0,580.0,1284.0,561.0,4.1161,<1H OCEAN,232500.0
159,-117.0,32.77,35.0,2114.0,317.0,881.0,320.0,5.5,<1H OCEAN,241400.0
160,-116.43,34.1,17.0,6683.0,1296.0,2677.0,1227.0,2.4828,INLAND,84000.0
161,-117.27,34.23,26.0,6339.0,1244.0,1177.0,466.0,3.7708,INLAND,110400.0
162,-117.86,34.08,31.0,2524.0,349.0,1003.0,343.0,7.5196,<1H OCEAN,380900.0
163,-119.05,35.36,30.0,4635.0,800.0,2307.0,754.0,3.6548,INLAND,84700.0
164,-118.0,33.89,34.0,1932.0,315.0,1053.0,316.0,5.1377,<1H OCEAN,213300.0
165,-122.12,37.09,36.0,1397.0,289.0,661.0,243.0,4.125,NEAR OCEAN,239600.0
166,-119.23,35.79,31.0,2862.0,606.0,2467.0,600.0,2.3125,INLAND,62100.0
167,-117.15,32.76,43.0,2361.0,489.0,824.0,470.0,3.4196,NEAR OCEAN,302200.0
168,-117.66,34.09,23.0,1426.0,313.0,954.0,319.0,3.0357,INLAND,151500.0
169,-120.49,37.3,50.0,985.0,309.0,621.0,250.0,1.3125,INLAND,60900.0
170,-118.3,34.18,13.0,7174.0,1997.0,4293.0,1872.0,3.0973,<1H OCEAN,251900.0
171,-118.45,34.18,33.0,2077.0,486.0,1021.0,450.0,3.6019,<1H OCEAN,225000.0
172,-118.39,33.85,24.0,4373.0,871.0,1830.0,824.0,5.7128,<1H OCEAN,366200.0
173,-121.22,37.8,28.0,2608.0,576.0,1719.0,554.0,2.1186,INLAND,94400.0
174,-118.36,34.09,38.0,2158.0,582.0,1061.0,577.0,2.9643,<1H OCEAN,355300.0
175,-121.66,36.68,10.0,913.0,265.0,508.0,251.0,0.9914,<1H OCEAN,147500.0
176,-122.06,37.64,37.0,1468.0,304.0,1038.0,282.0,4.1652,NEAR BAY,158200.0
177,-118.17,33.88,29.0,815.0,206.0,590.0,183.0,3.0052,<1H OCEAN,166700.0
178,-118.4,34.19,37.0,934.0,231.0,587.0,230.0,3.625,<1H OCEAN,181300.0
179,-118.55,34.44,14.0,15348.0,2366.0,7087.0,2169.0,6.3277,INLAND,237700.0
180,-118.27,33.89,32.0,1969.0,397.0,1349.0,370.0,4.4659,<1H OCEAN,138100.0
181,-119.31,36.31,18.0,3860.0,760.0,1643.0,664.0,2.0714,INLAND,92600.0
182,-120.45,34.63,25.0,2445.0,368.0,983.0,363.0,4.9286,NEAR OCEAN,180100.0
183,-122.41,37.76,52.0,492.0,139.0,316.0,168.0,3.0865,NEAR BAY,225000.0
184,-118.06,34.1,38.0,3229.0,636.0,1599.0,609.0,3.8646,<1H OCEAN,257100.0
185,-118.18,34.06,45.0,934.0,228.0,893.0,192.0,2.53,<1H OCEAN,140300.0
186,-121.98,36.98,29.0,2681.0,632.0,1652.0,620.0,3.075,NEAR OCEAN,215800.0
187,-117.11,32.69,34.0,1144.0,295.0,1271.0,302.0,2.09,NEAR OCEAN,91800.0
188,-118.43,34.05,22.0,4251.0,1073.0,1581.0,881.0,5.2555,<1H OCEAN,500001.0
189,-117.88,33.85,22.0,1105.0,241.0,971.0,249.0,3.1667,<1H OCEAN,113900.0
190,-122.4,37.71,40.0,1883.0,397.0,1411.0,438.0,3.0469,NEAR BAY,238000.0
191,-118.35,34.0,30.0,1879.0,226.0,740.0,266.0,6.431,<1H OCEAN,492500.0
192,-117.78,34.06,25.0,1712.0,491.0,1807.0,478.0,2.2258,INLAND,114800.0
193,-121.76,38.94,48.0,540.0,110.0,234.0,74.0,3.6111,INLAND,67500.0
194,-117.07,33.15,15.0,2994.0,522.0,1231.0,503.0,3.2024,<1H OCEAN,180400.0
195,-120.96,37.51,30.0,1288.0,237.0,720.0,233.0,2.3864,INLAND,139100.0
196,-118.25,34.0,29.0,1419.0,363.0,1696.0,317.0,2.2813,<1H OCEAN,101300.0
197,-118.17,34.19,45.0,1790.0,316.0,1035.0,312.0,4.0985,<1H OCEAN,173100.0
198,-122.38,40.58,34.0,1262.0,267.0,520.0,259.0,1.6983,INLAND,72600.0
199,-118.04,33.94,31.0,3808.0,670.0,2430.0,660.0,4.625,<1H OCEAN,173900.0
200,-122.42,37.8,52.0,3823.0,1040.0,1830.0,977.0,4.2458,NEAR BAY,450000.0
201,-118.3,34.02,34.0,3184.0,772.0,2474.0,705.0,1.631,<1H OCEAN,137500.0
202,-118.13,33.86,37.0,2259.0,425.0,1183.0,413.0,5.1805,<1H OCEAN,201600.0
203,-118.24,34.04,52.0,116.0,107.0,171.0,92.0,1.0769,<1H OCEAN,112500.0
204,-116.23,33.71,17.0,4874.0,1349.0,5032.0,1243.0,2.444,INLAND,90000.0
205,-117.96,33.75,22.0,2300.0,539.0,1625.0,542.0,2.78,<1H OCEAN,196300.0
206,-115.56,32.79,18.0,1178.0,438.0,1377.0,429.0,1.3373,INLAND,58300.0
207,-122.97,38.53,48.0,3939.0,860.0,1257.0,571.0,2.1165,<1H OCEAN,98700.0
208,-121.78,37.69,35.0,2853.0,588.0,1761.0,572.0,4.3533,INLAND,168400.0
209,-116.94,32.81,8.0,2517.0,632.0,1686.0,613.0,2.136,<1H OCEAN,143500.0
210,-118.1,33.89,34.0,2242.0,436.0,1483.0,443.0,4.4934,<1H OCEAN,185600.0
211,-117.88,33.72,38.0,1421.0,300.0,1236.0,263.0,3.9844,<1H OCEAN,165300.0
212,-117.72,34.03,17.0,2902.0,476.0,1652.0,479.0,5.6029,INLAND,161800.0
213,-118.33,34.04,31.0,1090.0,251.0,955.0,239.0,2.9130000000000003,<1H OCEAN,192500.0
214,-116.32,33.28,19.0,1791.0,367.0,327.0,185.0,3.3625,INLAND,100000.0
215,-118.07,34.06,34.0,2873.0,718.0,2758.0,699.0,2.5985,<1H OCEAN,168600.0
216,-122.34,37.93,45.0,2225.0,486.0,1304.0,459.0,2.64,NEAR BAY,112100.0
217,-117.28,34.09,44.0,376.0,,273.0,107.0,2.2917,INLAND,90800.0
218,-122.42,37.78,52.0,989.0,425.0,634.0,341.0,2.4414,NEAR BAY,275000.0
219,-120.97,37.62,7.0,8489.0,1673.0,5807.0,1575.0,2.9451,INLAND,127800.0
220,-117.81,33.74,24.0,2696.0,649.0,1908.0,626.0,3.3047,<1H OCEAN,216900.0
221,-122.02,37.55,33.0,1325.0,274.0,909.0,267.0,4.5687,NEAR BAY,177200.0
222,-118.02,33.91,35.0,2182.0,390.0,1248.0,399.0,5.4236,<1H OCEAN,216700.0
223,-121.97,36.98,17.0,2813.0,497.0,1337.0,477.0,3.7083,NEAR OCEAN,252400.0
224,-119.29,35.76,15.0,3938.0,789.0,3500.0,768.0,2.1295,INLAND,59800.0
225,-116.99,32.76,21.0,3833.0,595.0,1645.0,589.0,4.625,<1H OCEAN,273500.0
226,-122.06,37.6,18.0,1726.0,276.0,1186.0,310.0,5.3226,NEAR BAY,231700.0
227,-117.04,32.74,33.0,3880.0,770.0,2288.0,805.0,3.6848,NEAR OCEAN,140700.0
228,-117.24,33.19,19.0,1569.0,351.0,1035.0,352.0,2.9191,<1H OCEAN,159400.0
229,-120.84,37.51,8.0,1191.0,242.0,688.0,260.0,2.7243,INLAND,138400.0
230,-117.96,33.93,29.0,2316.0,522.0,1275.0,501.0,3.7760000000000002,<1H OCEAN,192600.0
231,-118.05,33.92,33.0,1999.0,470.0,2170.0,466.0,3.2371,<1H OCEAN,154700.0
232,-118.85,34.18,11.0,5873.0,1455.0,3089.0,1365.0,3.5504,<1H OCEAN,173800.0
233,-122.49,37.74,52.0,2189.0,433.0,1147.0,420.0,3.4583,NEAR OCEAN,321300.0
234,-119.23,34.46,34.0,9280.0,1765.0,4514.0,1693.0,3.2026,<1H OCEAN,227600.0
235,-117.25,33.21,9.0,1944.0,488.0,1992.0,453.0,2.066,<1H OCEAN,127200.0
236,-122.45,37.76,51.0,2564.0,457.0,810.0,442.0,5.6235,NEAR BAY,500001.0
237,-121.78,38.66,18.0,4224.0,632.0,1907.0,641.0,4.8226,INLAND,139900.0
238,-120.45,34.65,27.0,2215.0,578.0,1544.0,527.0,1.9257,NEAR OCEAN,135300.0
239,-120.51,40.41,36.0,36.0,8.0,4198.0,7.0,5.5179,INLAND,67500.0
240,-119.55,36.61,14.0,3004.0,793.0,3535.0,735.0,1.5859999999999999,INLAND,56900.0
241,-115.49,32.67,29.0,1523.0,440.0,1302.0,393.0,1.1311,INLAND,84700.0
242,-118.29,33.98,41.0,1582.0,416.0,1422.0,370.0,1.0516,<1H OCEAN,108300.0
243,-116.43,33.81,8.0,6710.0,1343.0,2069.0,781.0,3.5223,INLAND,115100.0
244,-118.31,34.06,34.0,1848.0,667.0,1351.0,589.0,2.0547,<1H OCEAN,410000.0
245,-118.27,33.86,33.0,1685.0,333.0,1484.0,318.0,4.3527,<1H OCEAN,167000.0
246,-116.38,34.1,6.0,2104.0,348.0,841.0,320.0,4.1458,INLAND,116300.0
247,-122.03,38.01,27.0,3228.0,562.0,1666.0,588.0,4.5707,NEAR BAY,175900.0
248,-116.76,34.14,4.0,42.0,10.0,9.0,3.0,0.536,INLAND,42500.0
249,-119.71,34.42,39.0,1172.0,322.0,606.0,316.0,2.16,<1H OCEAN,259100.0
250,-118.1,34.13,47.0,2234.0,276.0,749.0,260.0,15.0001,<1H OCEAN,500001.0
251,-122.27,37.53,43.0,1145.0,230.0,586.0,254.0,3.5,NEAR OCEAN,267400.0
252,-121.6,37.09,24.0,1511.0,318.0,1052.0,292.0,3.625,<1H OCEAN,350000.0
253,-121.95,37.25,34.0,2906.0,544.0,1282.0,522.0,5.5127,<1H OCEAN,268200.0
254,-121.6,39.79,18.0,2672.0,533.0,1151.0,532.0,2.5669999999999997,INLAND,102900.0
255,-122.52,37.92,24.0,421.0,64.0,163.0,75.0,14.5833,NEAR BAY,500001.0
256,-117.69,33.64,16.0,2592.0,372.0,1279.0,383.0,6.9741,<1H OCEAN,262000.0
257,-122.17,37.87,38.0,1261.0,177.0,472.0,183.0,6.917000000000001,NEAR BAY,438000.0
258,-122.21,37.48,39.0,1535.0,340.0,1204.0,370.0,2.8482,NEAR BAY,247200.0
259,-121.79,37.23,17.0,2281.0,359.0,1226.0,394.0,5.4193,<1H OCEAN,259500.0
260,-117.9,34.06,33.0,1701.0,290.0,831.0,275.0,5.4469,<1H OCEAN,274700.0
261,-119.68,37.35,13.0,2307.0,386.0,925.0,347.0,3.1326,INLAND,119800.0
262,-118.58,34.22,35.0,2560.0,441.0,1428.0,468.0,5.6345,<1H OCEAN,228200.0
263,-117.05,32.75,43.0,1718.0,344.0,826.0,336.0,2.7014,NEAR OCEAN,133700.0
264,-118.36,33.92,19.0,2807.0,883.0,1546.0,815.0,2.6375,<1H OCEAN,233800.0
265,-118.43,34.27,36.0,1002.0,250.0,1312.0,249.0,3.0239999999999996,<1H OCEAN,148000.0
266,-117.91,33.65,24.0,885.0,321.0,590.0,254.0,2.625,<1H OCEAN,217900.0
267,-118.58,34.23,35.0,1917.0,314.0,1019.0,340.0,4.8929,<1H OCEAN,234900.0
268,-117.01,32.8,20.0,2705.0,545.0,1198.0,497.0,3.7159,<1H OCEAN,168900.0
269,-118.49,34.13,24.0,4394.0,,1443.0,528.0,11.2979,<1H OCEAN,500001.0
270,-118.31,34.27,35.0,1446.0,274.0,759.0,291.0,6.0808,<1H OCEAN,215600.0
271,-118.53,34.27,33.0,1927.0,305.0,896.0,293.0,5.6339999999999995,<1H OCEAN,320500.0
272,-115.9,33.34,19.0,1210.0,248.0,329.0,155.0,1.7857,INLAND,62800.0
273,-119.59,36.11,32.0,752.0,159.0,524.0,155.0,2.25,INLAND,50000.0
274,-118.22,33.98,32.0,2643.0,737.0,2784.0,711.0,2.5352,<1H OCEAN,184400.0
275,-118.36,34.12,26.0,3902.0,610.0,1468.0,632.0,8.5136,<1H OCEAN,500001.0
